WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,1.0,1.0,1.0,0.0
2,0.81,0.88,0.72,16.0
3,0.979,1.0,0.93,7.0
4,0.94,1.0,0.84,16.0
5,0.597,0.66,0.52,14.0
6,0.696,1.0,0.49,51.0
7,1.0,1.0,1.0,0.0
Mean,0.86,0.934,0.786,14.857
SD,0.15,0.119,0.199,16.093
