1.data,2.data,3.data,4.data,5.data,6.data,7.data
1.0,0.87,1.0,1.0,0.63,1.0,1.0
1.0,0.87,,,0.63,,1.0
1.0,0.87,,,0.63,,1.0
1.0,0.8,0.98,0.92,0.59,0.53,1.0
1.0,0.8,0.98,0.92,0.59,0.53,1.0
1.0,0.8,,0.92,0.59,0.53,1.0
1.0,0.74,0.95,0.85,0.53,0.5,1.0
1.0,0.74,0.95,0.85,0.53,0.5,1.0
1.0,0.74,0.95,0.85,0.53,0.5,1.0
1.0,0.87,1.0,1.0,0.64,1.0,1.0
1.0,0.87,,,0.64,,1.0
1.0,0.87,,,0.64,,1.0
1.0,0.81,0.98,0.93,0.6,0.54,1.0
1.0,0.81,0.98,0.93,0.6,0.54,1.0
1.0,0.81,,0.93,0.6,0.54,1.0
1.0,0.75,0.96,0.86,0.53,0.5,1.0
1.0,0.75,0.96,0.86,0.53,0.5,1.0
1.0,0.75,0.96,0.86,0.53,0.5,1.0
1.0,0.88,1.0,1.0,0.64,1.0,1.0
1.0,0.88,,,0.64,,1.0
1.0,0.88,,,0.64,,1.0
1.0,0.81,0.99,0.93,0.6,0.54,1.0
1.0,0.81,0.99,0.93,0.6,0.54,1.0
1.0,0.81,,0.93,0.6,0.54,1.0
1.0,0.75,0.96,0.87,0.54,0.5,1.0
1.0,0.75,0.97,0.87,0.54,0.5,1.0
1.0,0.75,0.97,0.87,0.54,0.5,1.0
1.0,0.87,1.0,1.0,0.63,0.79,1.0
1.0,0.87,1.0,1.0,0.63,1.0,1.0
1.0,0.87,,,0.63,1.0,1.0
1.0,0.8,0.98,0.92,0.59,0.53,1.0
1.0,0.8,0.98,0.92,0.59,0.53,1.0
1.0,0.8,0.98,0.92,0.59,0.53,1.0
1.0,0.74,0.95,0.85,0.53,0.5,1.0
1.0,0.74,0.95,0.85,0.53,0.5,1.0
1.0,0.74,0.95,0.85,0.53,0.5,1.0
1.0,0.87,1.0,1.0,0.64,0.8,1.0
1.0,0.87,1.0,1.0,0.64,1.0,1.0
1.0,0.87,,,0.64,1.0,1.0
1.0,0.81,0.98,0.93,0.6,0.54,1.0
1.0,0.81,0.98,0.93,0.6,0.54,1.0
1.0,0.81,0.98,0.93,0.6,0.54,1.0
1.0,0.75,0.95,0.86,0.53,0.5,1.0
1.0,0.75,0.96,0.86,0.53,0.5,1.0
1.0,0.75,0.96,0.86,0.53,0.5,1.0
