1.data,2.data,3.data,4.data,5.data,6.data,7.data
1.0,0.84,0.99,0.97,0.63,0.61,1.0
1.0,0.84,0.99,0.97,0.63,0.66,1.0
1.0,0.84,0.99,0.97,0.63,0.67,1.0
1.0,0.91,,,0.68,,1.0
1.0,0.91,,,0.68,,1.0
1.0,0.91,,,0.68,,1.0
1.0,0.88,1.0,1.0,0.65,0.86,1.0
1.0,0.88,1.0,1.0,0.65,1.0,1.0
1.0,0.88,,,0.65,1.0,1.0
1.0,0.84,0.99,0.97,0.63,0.61,1.0
1.0,0.84,0.99,0.97,0.63,0.66,1.0
1.0,0.84,0.99,0.97,0.63,0.67,1.0
1.0,0.91,,,0.68,,1.0
1.0,0.91,,,0.68,,1.0
1.0,0.91,,,0.68,,1.0
1.0,0.87,1.0,1.0,0.65,0.84,1.0
1.0,0.87,1.0,1.0,0.65,1.0,1.0
1.0,0.87,1.0,1.0,0.65,1.0,1.0
1.0,0.84,0.99,0.96,0.63,0.61,1.0
1.0,0.84,0.99,0.96,0.63,0.65,1.0
1.0,0.84,0.99,0.96,0.63,0.67,1.0
1.0,0.91,,,0.68,,1.0
1.0,0.91,,,0.68,,1.0
1.0,0.91,,,0.68,,1.0
1.0,0.88,1.0,1.0,0.65,0.86,1.0
1.0,0.88,1.0,1.0,0.65,1.0,1.0
1.0,0.88,1.0,1.0,0.65,1.0,1.0
1.0,0.84,0.99,0.97,0.63,0.61,1.0
1.0,0.84,0.99,0.97,0.63,0.66,1.0
1.0,0.84,0.99,0.97,0.63,0.67,1.0
1.0,0.91,,,0.68,,1.0
1.0,0.91,,,0.68,,1.0
1.0,0.91,,,0.68,,1.0
1.0,0.88,1.0,1.0,0.65,0.86,1.0
1.0,0.88,1.0,1.0,0.65,1.0,1.0
1.0,0.88,1.0,1.0,0.65,1.0,1.0
1.0,0.84,0.99,0.97,0.63,0.61,1.0
1.0,0.84,0.99,0.97,0.63,0.66,1.0
1.0,0.84,0.99,0.97,0.63,0.67,1.0
1.0,0.94,,,0.7,,1.0
1.0,0.94,,,0.7,,1.0
1.0,0.94,,,0.7,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.87,1.0,1.0,0.64,1.0,1.0
1.0,0.87,,,0.64,,1.0
1.0,0.87,,,0.64,,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.88,1.0,1.0,0.65,1.0,1.0
1.0,0.88,,,0.65,,1.0
1.0,0.88,,,0.65,,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.88,1.0,1.0,0.65,1.0,1.0
1.0,0.88,,,0.65,,1.0
1.0,0.88,,,0.65,,1.0
1.0,0.94,,,0.7,,1.0
1.0,0.94,,,0.7,,1.0
1.0,0.94,,,0.7,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.87,1.0,1.0,0.64,0.86,1.0
1.0,0.87,1.0,1.0,0.64,1.0,1.0
1.0,0.87,,,0.64,1.0,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.88,1.0,1.0,0.65,0.87,1.0
1.0,0.88,1.0,1.0,0.65,1.0,1.0
1.0,0.88,,,0.65,1.0,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.88,1.0,1.0,0.65,0.87,1.0
1.0,0.88,1.0,1.0,0.65,1.0,1.0
1.0,0.88,,,0.65,1.0,1.0
1.0,0.94,,,0.7,,1.0
1.0,0.94,,,0.7,,1.0
1.0,0.94,,,0.7,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.87,1.0,1.0,0.64,0.86,1.0
1.0,0.87,1.0,1.0,0.64,1.0,1.0
1.0,0.87,1.0,1.0,0.64,1.0,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.88,1.0,1.0,0.65,0.87,1.0
1.0,0.88,1.0,1.0,0.65,1.0,1.0
1.0,0.88,1.0,1.0,0.65,1.0,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.95,,,0.7,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.91,,,0.67,,1.0
1.0,0.88,1.0,1.0,0.65,0.87,1.0
1.0,0.88,1.0,1.0,0.65,1.0,1.0
1.0,0.88,1.0,1.0,0.65,1.0,1.0
1.0,0.85,1.0,1.0,0.64,0.98,1.0
1.0,0.85,,,0.64,,1.0
1.0,0.85,,,0.64,,1.0
1.0,0.82,0.99,0.96,0.61,0.7,1.0
1.0,0.82,0.99,0.96,0.61,0.8,1.0
1.0,0.82,,0.96,0.61,0.81,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,0.85,,,0.64,,1.0
1.0,0.85,,,0.64,,1.0
1.0,0.82,0.99,0.96,0.62,0.71,1.0
1.0,0.82,0.99,0.96,0.62,0.82,1.0
1.0,0.82,,0.96,0.62,0.82,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,0.85,,,0.64,,1.0
1.0,0.85,,,0.64,,1.0
1.0,0.82,0.99,0.96,0.62,0.71,1.0
1.0,0.82,0.99,0.96,0.62,0.82,1.0
1.0,0.82,,0.96,0.62,0.82,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.85,1.0,1.0,0.64,0.81,1.0
1.0,0.85,1.0,1.0,0.64,0.98,1.0
1.0,0.85,,,0.64,0.98,1.0
1.0,0.82,0.99,0.96,0.61,0.55,1.0
1.0,0.82,0.99,0.96,0.61,0.57,1.0
1.0,0.82,0.99,0.96,0.61,0.59,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.85,1.0,1.0,0.64,0.82,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,0.85,,,0.64,1.0,1.0
1.0,0.82,0.99,0.96,0.62,0.55,1.0
1.0,0.82,0.99,0.96,0.62,0.58,1.0
1.0,0.82,0.99,0.96,0.62,0.6,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.85,1.0,1.0,0.64,0.82,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,0.85,,,0.64,1.0,1.0
1.0,0.82,0.99,0.96,0.62,0.55,1.0
1.0,0.82,0.99,0.96,0.62,0.58,1.0
1.0,0.82,0.99,0.96,0.62,0.6,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.85,1.0,1.0,0.64,0.81,1.0
1.0,0.85,1.0,1.0,0.64,0.98,1.0
1.0,0.85,1.0,1.0,0.64,0.98,1.0
1.0,0.82,0.98,0.96,0.61,0.55,1.0
1.0,0.82,0.99,0.96,0.61,0.57,1.0
1.0,0.82,0.99,0.96,0.61,0.59,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.85,1.0,1.0,0.64,0.82,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,0.82,0.99,0.96,0.62,0.55,1.0
1.0,0.82,0.99,0.96,0.62,0.58,1.0
1.0,0.82,0.99,0.96,0.62,0.6,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.85,1.0,1.0,0.64,0.82,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,0.82,0.99,0.96,0.62,0.55,1.0
1.0,0.82,0.99,0.96,0.62,0.58,1.0
1.0,0.82,0.99,0.96,0.62,0.6,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.88,,,0.68,,1.0
1.0,0.88,,,0.68,,1.0
1.0,0.88,,,0.68,,1.0
1.0,0.85,1.0,1.0,0.65,0.98,1.0
1.0,0.85,,,0.65,,1.0
1.0,0.85,,,0.65,,1.0
1.0,0.82,0.98,0.96,0.63,0.73,1.0
1.0,0.82,0.99,0.96,0.63,0.83,1.0
1.0,0.82,,0.96,0.63,0.84,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.85,1.0,1.0,0.65,1.0,1.0
1.0,0.85,,,0.65,,1.0
1.0,0.85,,,0.65,,1.0
1.0,0.82,0.99,0.96,0.63,0.74,1.0
1.0,0.82,0.99,0.96,0.63,0.85,1.0
1.0,0.82,,0.96,0.63,0.86,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.85,1.0,1.0,0.65,1.0,1.0
1.0,0.85,,,0.65,,1.0
1.0,0.85,,,0.65,,1.0
1.0,0.82,0.99,0.96,0.63,0.74,1.0
1.0,0.82,0.99,0.96,0.63,0.85,1.0
1.0,0.82,,0.96,0.63,0.86,1.0
1.0,0.88,,,0.68,,1.0
1.0,0.88,,,0.68,,1.0
1.0,0.88,,,0.68,,1.0
1.0,0.85,1.0,1.0,0.65,0.83,1.0
1.0,0.85,1.0,1.0,0.65,0.98,1.0
1.0,0.85,,,0.65,0.98,1.0
1.0,0.82,0.98,0.96,0.63,0.6,1.0
