1.data,2.data,3.data,4.data,5.data,6.data,7.data
0.71,0.78,0.97,0.93,0.58,0.54,0.56
0.85,0.94,,,0.7,0.96,0.67
0.85,0.94,,,0.7,1.0,0.67
0.85,0.94,,,0.7,,0.67
0.78,0.86,1.0,1.0,0.64,0.78,0.61
0.78,0.86,1.0,1.0,0.64,0.92,0.61
0.78,0.86,1.0,1.0,0.64,1.0,0.61
0.72,0.79,0.98,0.94,0.58,0.54,0.56
0.72,0.79,0.98,0.94,0.58,0.54,0.56
0.72,0.79,0.98,0.94,0.58,0.54,0.56
0.86,0.93,,,0.69,,0.66
0.86,0.93,,,0.69,,0.72
0.92,0.93,,,0.69,,0.78
0.79,0.85,,,0.63,,0.6
0.79,0.85,,,0.63,,0.6
0.79,0.85,,,0.63,,0.6
0.72,0.78,1.0,1.0,0.58,0.53,0.55
0.72,0.78,,,0.58,0.53,0.55
0.72,0.78,,,0.58,,0.55
0.87,0.94,,,0.7,,0.66
0.87,0.94,,,0.7,,0.73
0.92,0.94,,,0.7,,0.78
0.79,0.86,,,0.64,,0.61
0.79,0.86,,,0.64,,0.61
0.79,0.86,,,0.64,,0.61
0.73,0.79,1.0,1.0,0.58,0.54,0.56
0.73,0.79,,,0.58,0.54,0.56
0.73,0.79,,,0.58,,0.56
0.88,0.94,,,0.7,,0.67
0.88,0.94,,,0.7,,0.73
0.93,0.94,,,0.7,,0.79
0.8,0.86,,,0.64,,0.61
0.8,0.86,,,0.64,,0.61
0.8,0.86,,,0.64,,0.61
0.74,0.79,1.0,1.0,0.59,0.54,0.56
0.74,0.79,,,0.59,0.54,0.56
0.74,0.79,,,0.59,,0.56
0.86,0.93,,,0.69,,0.66
0.86,0.93,,,0.69,,0.66
0.86,0.93,,,0.69,,0.72
0.79,0.85,,,0.63,0.92,0.6
0.79,0.85,,,0.63,,0.6
0.79,0.85,,,0.63,,0.6
0.72,0.78,1.0,1.0,0.58,0.53,0.55
0.72,0.78,1.0,1.0,0.58,0.53,0.55
0.72,0.78,,,0.58,,0.55
0.87,0.94,,,0.7,,0.66
0.87,0.94,,,0.7,,0.67
0.87,0.94,,,0.7,,0.73
0.79,0.86,,,0.64,0.93,0.61
0.79,0.86,,,0.64,,0.61
0.79,0.86,,,0.64,,0.61
0.73,0.79,1.0,1.0,0.58,0.54,0.56
0.73,0.79,1.0,1.0,0.58,0.54,0.56
0.73,0.79,,,0.58,,0.56
0.88,0.94,,,0.7,,0.67
0.88,0.94,,,0.7,,0.67
0.88,0.94,,,0.7,,0.73
0.8,0.86,,,0.64,0.93,0.61
0.8,0.86,,,0.64,,0.61
0.8,0.86,,,0.64,,0.61
0.74,0.79,1.0,1.0,0.59,0.54,0.56
0.74,0.79,1.0,1.0,0.59,0.54,0.56
0.74,0.79,,,0.59,,0.56
0.86,0.93,,,0.69,1.0,0.66
0.86,0.93,,,0.69,,0.66
0.86,0.93,,,0.69,,0.67
0.79,0.85,,,0.63,0.8,0.6
0.79,0.85,,,0.63,0.94,0.6
0.79,0.85,,,0.63,,0.6
0.72,0.78,1.0,1.0,0.58,0.53,0.55
0.72,0.78,1.0,1.0,0.58,0.53,0.55
0.72,0.78,1.0,1.0,0.58,0.53,0.55
