WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,1.0,1.0,1.0,0.0
2,0.863,1.0,0.72,28.0
3,0.979,1.0,0.93,7.0
4,0.94,1.0,0.84,16.0
5,0.642,0.77,0.52,25.0
6,0.71,1.0,0.49,51.0
7,1.0,1.0,1.0,0.0
Mean,0.876,0.967,0.786,18.143
SD,0.135,0.08,0.199,16.949
