WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.991,1.02,0.95,7.0
2,0.811,1.02,0.7,32.0
3,0.936,1.06,0.76,30.0
4,0.898,1.03,0.68,35.0
5,0.601,0.76,0.51,25.0
6,0.685,1.02,0.48,54.0
7,1.0,1.03,0.97,6.0
Mean,0.846,0.991,0.721,27.0
SD,0.143,0.095,0.178,15.455
