WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,1.028,1.4,0.0,140.0
2,0.885,1.36,0.7,66.0
3,0.514,1.06,0.0,106.0
4,0.488,1.03,0.0,103.0
5,0.64,0.79,0.51,28.0
6,0.438,1.06,0.0,106.0
7,0.558,1.06,0.0,106.0
Mean,0.65,1.109,0.173,93.571
SD,0.206,0.194,0.278,33.312
