WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.644,0.86,0.57,29.0
2,0.801,0.87,0.71,16.0
3,0.979,1.0,0.93,7.0
4,0.94,1.0,0.84,16.0
5,0.587,0.64,0.52,12.0
6,0.689,1.0,0.48,52.0
7,0.606,0.68,0.57,11.0
Mean,0.749,0.864,0.66,20.429
SD,0.148,0.141,0.159,14.391
