WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.623,0.65,0.6,5.0
2,0.851,0.94,0.78,16.0
3,0.99,1.0,0.97,3.0
4,0.969,1.0,0.92,8.0
5,0.628,0.68,0.57,11.0
6,0.757,1.0,0.52,48.0
7,0.623,0.65,0.6,5.0
Mean,0.777,0.846,0.709,13.714
SD,0.15,0.162,0.168,14.577
