WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.723,1.0,0.08,92.0
2,0.513,1.0,0.01,99.0
3,0.539,1.0,0.0,100.0
4,0.556,1.0,0.01,99.0
5,0.435,1.0,0.0,100.0
6,0.465,1.0,0.0,100.0
7,0.762,1.0,0.1,90.0
Mean,0.57,1.0,0.029,97.143
SD,0.116,0.0,0.039,3.943
