WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.649,0.823,0.552,27.1
2,0.724,0.935,0.63,30.5
3,0.805,1.0,0.65,35.0
4,0.875,1.0,0.684,31.6
5,0.72,0.939,0.622,31.7
6,0.525,1.0,0.433,56.7
7,0.515,0.67,0.446,22.4
Mean,0.688,0.91,0.574,33.571
SD,0.125,0.114,0.093,10.145
