WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.953,1.0,0.0,100.0
2,0.794,1.0,0.7,30.0
3,0.874,1.0,0.0,100.0
4,0.832,1.0,0.0,100.0
5,0.587,0.74,0.51,23.0
6,0.573,1.0,0.0,100.0
7,0.709,1.0,0.0,100.0
Mean,0.76,0.963,0.173,79.0
SD,0.133,0.091,0.278,33.257
Mean,0.691,0.866,0.185,73.917
SD,0.229,0.286,0.247,32.663
