WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.74,0.83,0.68,15.0
2,0.818,0.93,0.76,17.0
3,0.963,1.0,0.88,12.0
4,0.937,1.0,0.83,17.0
5,0.604,0.69,0.56,13.0
6,0.712,1.0,0.52,48.0
7,0.581,0.66,0.54,12.0
Mean,0.765,0.873,0.681,19.143
SD,0.139,0.137,0.135,11.945
