WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,1.0,1.0,1.0,0.0
2,0.979,1.0,0.84,16.0
3,0.974,1.0,0.93,7.0
4,0.995,1.0,0.97,3.0
5,0.712,0.78,0.63,15.0
6,0.722,1.0,0.51,49.0
7,1.0,1.0,1.0,0.0
Mean,0.912,0.969,0.84,12.857
SD,0.124,0.077,0.181,15.959
