WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.984,1.0,0.95,5.0
2,0.805,1.0,0.7,30.0
3,0.918,1.0,0.76,24.0
4,0.888,1.0,0.68,32.0
5,0.595,0.74,0.51,23.0
6,0.68,1.0,0.48,52.0
7,0.992,1.0,0.97,3.0
Mean,0.837,0.963,0.721,24.143
SD,0.141,0.091,0.178,15.524
