WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,1.0,1.0,1.0,0.0
2,0.971,1.0,0.84,16.0
3,0.977,1.0,0.94,6.0
4,0.996,1.0,0.97,3.0
5,0.691,0.72,0.63,9.0
6,0.703,1.0,0.51,49.0
7,1.0,1.0,1.0,0.0
Mean,0.905,0.96,0.841,11.857
SD,0.132,0.098,0.182,16.031
