WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.613,0.65,0.6,5.0
2,0.824,0.87,0.78,9.0
3,0.99,1.0,0.97,3.0
4,0.969,1.0,0.92,8.0
5,0.607,0.64,0.57,7.0
6,0.737,1.0,0.52,48.0
7,0.613,0.65,0.6,5.0
Mean,0.765,0.83,0.709,12.143
SD,0.155,0.164,0.168,14.759
