WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.445,1.0,0.0,100.0
2,0.47,1.0,0.01,99.0
3,0.494,1.0,0.0,100.0
4,0.514,1.0,0.01,99.0
5,0.389,1.0,0.0,100.0
6,0.423,1.0,0.0,100.0
7,0.391,1.0,0.0,100.0
Mean,0.447,1.0,0.003,99.714
SD,0.045,0.0,0.005,0.452
