WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.795,1.0,0.61,39.0
2,0.855,1.0,0.69,31.0
3,0.919,1.0,0.76,24.0
4,0.884,1.0,0.68,32.0
5,0.633,0.78,0.5,28.0
6,0.675,1.0,0.48,52.0
7,0.652,1.0,0.49,51.0
Mean,0.773,0.969,0.601,36.714
SD,0.11,0.077,0.105,10.25
