WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.69,0.92,0.57,35.0
2,0.854,1.0,0.71,29.0
3,0.979,1.0,0.93,7.0
4,0.939,1.0,0.84,16.0
5,0.629,0.75,0.52,23.0
6,0.702,1.0,0.48,52.0
7,0.626,0.68,0.57,11.0
Mean,0.774,0.907,0.66,24.714
SD,0.137,0.126,0.159,14.39
