WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.713,0.93,0.61,32.0
2,0.793,1.0,0.69,31.0
3,0.92,1.0,0.76,24.0
4,0.878,1.0,0.68,32.0
5,0.583,0.76,0.5,26.0
6,0.653,1.0,0.48,52.0
7,0.573,0.86,0.49,37.0
Mean,0.73,0.936,0.601,33.429
SD,0.128,0.087,0.105,8.55
