WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.992,1.0,0.95,5.0
2,0.859,1.0,0.7,30.0
3,0.919,1.0,0.76,24.0
4,0.885,1.0,0.68,32.0
5,0.64,0.79,0.51,28.0
6,0.68,1.0,0.48,52.0
7,0.995,1.0,0.97,3.0
Mean,0.853,0.97,0.721,24.857
SD,0.131,0.073,0.178,15.569
