WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.469,1.0,0.01,99.0
2,0.483,1.0,0.01,99.0
3,0.499,1.0,0.01,99.0
4,0.51,1.0,0.01,99.0
5,0.413,1.0,0.01,99.0
6,0.433,1.0,0.01,99.0
7,0.415,1.0,0.01,99.0
Mean,0.46,1.0,0.01,99.0
SD,0.037,0.0,0.0,0.0
