WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.717,1.0,0.08,92.0
2,0.496,1.0,0.01,99.0
3,0.525,1.0,0.0,100.0
4,0.541,1.0,0.01,99.0
5,0.416,1.0,0.0,100.0
6,0.448,1.0,0.0,100.0
7,0.76,1.0,0.1,90.0
Mean,0.558,1.0,0.029,97.143
SD,0.122,0.0,0.039,3.943
