WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.996,1.0,0.98,2.0
2,0.854,0.95,0.77,18.0
3,0.961,1.0,0.88,12.0
4,0.933,1.0,0.83,17.0
5,0.637,0.71,0.57,14.0
6,0.745,1.0,0.53,47.0
7,0.997,1.0,0.99,1.0
Mean,0.875,0.951,0.793,15.857
SD,0.128,0.1,0.17,14.177
