WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.994,1.0,0.98,2.0
2,0.827,0.93,0.77,16.0
3,0.966,1.0,0.88,12.0
4,0.944,1.0,0.83,17.0
5,0.617,0.7,0.57,13.0
6,0.736,1.0,0.53,47.0
7,0.997,1.0,0.99,1.0
Mean,0.869,0.947,0.793,15.429
SD,0.136,0.104,0.17,14.171
