WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.968,1.0,0.0,100.0
2,0.859,1.0,0.7,30.0
3,0.511,1.0,0.0,100.0
4,0.486,1.0,0.0,100.0
5,0.64,0.79,0.51,28.0
6,0.436,1.0,0.0,100.0
7,0.553,1.0,0.0,100.0
Mean,0.636,0.97,0.173,79.714
SD,0.187,0.073,0.278,32.079
