WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.988,1.0,0.95,5.0
2,0.811,1.0,0.7,30.0
3,0.929,1.0,0.76,24.0
4,0.894,1.0,0.68,32.0
5,0.601,0.76,0.51,25.0
6,0.685,1.0,0.48,52.0
7,0.994,1.0,0.97,3.0
Mean,0.843,0.966,0.721,24.429
SD,0.141,0.084,0.178,15.518
