WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.714,0.912,0.552,36.0
2,0.784,0.966,0.63,33.6
3,0.876,1.0,0.65,35.0
4,0.875,1.0,0.684,31.6
5,0.779,0.966,0.622,34.4
6,0.536,1.0,0.433,56.7
7,0.556,0.686,0.446,24.0
Mean,0.731,0.933,0.574,35.9
SD,0.129,0.105,0.093,9.267
