WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.731,1.0,0.08,92.0
2,0.488,1.0,0.01,99.0
3,0.5,1.0,0.01,99.0
4,0.511,1.0,0.01,99.0
5,0.423,1.0,0.01,99.0
6,0.436,1.0,0.01,99.0
7,0.768,1.0,0.1,90.0
Mean,0.551,1.0,0.033,96.714
SD,0.129,0.0,0.037,3.653
