WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,1.0,1.0,1.0,0.0
2,0.86,0.95,0.79,16.0
3,0.99,1.0,0.97,3.0
4,0.969,1.0,0.92,8.0
5,0.647,0.7,0.59,11.0
6,0.768,1.0,0.53,47.0
7,1.0,1.0,1.0,0.0
Mean,0.891,0.95,0.829,12.143
SD,0.128,0.104,0.183,15.245
