WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,0.774,0.93,0.68,25.0
2,0.85,0.94,0.76,18.0
3,0.961,1.0,0.88,12.0
4,0.937,1.0,0.83,17.0
5,0.628,0.7,0.56,14.0
6,0.742,1.0,0.52,48.0
7,0.61,0.79,0.54,25.0
Mean,0.786,0.909,0.681,22.714
SD,0.128,0.11,0.135,11.31
