WWTP,Mean,Maximum,Minimum,Amplitude (max-min)(%)
1,1.0,1.0,1.0,0.0
2,0.834,0.88,0.79,9.0
3,0.99,1.0,0.97,3.0
4,0.969,1.0,0.92,8.0
5,0.626,0.65,0.59,6.0
6,0.749,1.0,0.53,47.0
7,1.0,1.0,1.0,0.0
Mean,0.881,0.933,0.829,10.429
SD,0.138,0.123,0.183,15.296
